ESPECIE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TOTAL PECES,4.150.966,4.620.501,3.970.747,5.176.071,4.530.523,4.442.877,4.174.487,3.925.350,3.757.844,2.824.213,3.428.322
ACHA,-,-,-,-,7,-,1,-,-,-,-
AGuJILLA,4.178,1.492,10.339,1.490,756,633,558,1.093,5.979,7.013,4.681
ALBACORA,3.262,3.523,3.848,3.268,3.979,3.147,3.741,2.792,3.514,4.363,4.949
ALFONSINO,5.182,8.166,9.951,2.860,2.951,2.377,2.648,2.622,1.109,948,214
ANCHOVEtA,852.789,1.526.872,823.180,1.859.571,1.548.797,995.249,1.393.747,1.116.748,955.150,755.370,1.191.376
ANCHOVEtA BLANCA,-,-,-,-,-,-,-,-,-,-,-
ANGuILA,270,41,61,188,201,71,50,74,60,38,65
APAÑADO,5,-,1,7,6,5,1,7,4,5,13
AtuN ALEtA AMARILLA,66,15,73,86,110,79,76,74,47,30,2
AtuN ALEtA LARGA,5,40,1,8,7,5,-,2,3,1,2
AtuN OJOS GRANDES,5,7,15,9,24,36,37,28,15,2,-
AYANQuE,14,30,25,52,53,3,5,-,-,1,4
AZuLEJO,445,605,448,420,387,468,474,197,268,850,209
BACALADILLO O MOtE,223,4.371,9.319,70.465,110.383,319.476,20.302,67.409,170.025,32.291,177.878
BACALAO DE J. FERNANDEZ,10,2,-,16,2,-,-,3,1,-,-
BACALAO DE PROFuNDIDAD,7.891,8.539,8.274,6.471,6.345,5.184,4.873,5.140,5.221,5.297,4.786
BESuGO,4.648,1.595,3.276,2.070,2.229,1.536,801,351,184,93,76
BLANQuILLO,53,52,27,62,40,27,35,55,60,32,46
BONItO,19,-,24,8,11,3,4,10,36,8,9
BRECA O BILAGAY,46,4,6,65,62,49,75,102,77,62,98
BROtuLA,641,360,1.141,2.855,3.131,1.751,685,698,3.356,1.400,1.091
CABALLA,365.031,343.371,572.052,577.336,280.756,368.786,297.189,133.018,158.452,95.659,26.056
CABINZA,28,149,3.615,3.280,576,53,171,39,101,38,110
CABRILLA,177,53,53,207,154,132,95,111,246,200,253
CACHuRREtA,57,1,18,37,6,2,3,-,-,-,-
CAZON,1,-,-,-,-,-,-,-,1,-,-
CHANCHARRO,87,35,16,96,88,97,161,38,49,71,153
COCHINILLA,5.307,8.487,3.500,4.995,246,18,-,44,-,-,-
COJINOBA,3.336,3.587,2.567,3.644,2.952,3.121,3.339,3.254,4.618,3.603,4.242
CONGRIO COLORADO,730,213,100,548,389,377,395,619,654,467,855
CONGRIO DORADO,7.522,4.518,4.767,5.801,3.870,5.225,4.585,3.346,3.690,3.253,2.863
CONGRIO NEGRO,3.889,1.558,1.560,1.469,867,514,259,294,309,196,323
CORVINA,1.033,733,594,916,772,544,574,743,1.189,626,863
DORADO DE ALtuRA,349,819,459,594,383,517,347,250,240,402,337
DRACO RAYADO,812,192,841,1.047,1,1.191,1.519,508,-,1,-
HuAIQuIL O CORVINILLA,-,-,-,3,19,25,2,3,3,9,-
JERGuILLA,9,-,-,13,6,8,12,22,32,13,20
JuREL,1.649.933,1.518.994,1.421.296,1.451.599,1.430.438,1.379.941,1.302.784,896.189,834.927,464.808,247.295
LENGuADO,76,12,51,93,101,76,48,95,102,55,43
LISA,93,22,34,84,63,23,79,63,73,31,53
MACHuELO tRItRE,4.931,18.399,14.296,19.316,10.994,24.449,19.550,23.207,25.998,10.599,10.437
MARLIN,1,14,4,9,7,7,15,4,11,20,3
MARRAJO O tIBuRON,964,425,426,439,519,509,405,225,312,367,334
MERLuZA COMuN,121.200,116.040,115.343,73.597,47.436,47.958,45.848,47.936,47.144,49.197,45.332
MERLuZA DE COLA,162.082,133.418,85.896,71.177,79.755,73.421,63.697,73.567,78.440,74.330,70.137
MERLuZA DE tRES ALEtAS,28.755,29.409,32.168,33.169,25.425,29.115,26.701,27.086,22.221,23.301,19.629
MERLuZA DEL SuR,28.806,23.431,22.948,31.701,31.458,31.493,30.589,28.050,26.272,25.361,20.909
NANuE,24,-,1,20,19,27,17,22,19,17,-
ORANGE ROuGHY,1.868,1.514,1.249,1.262,783,259,5,1,-,-,-
PAMPANItO,11,141,1.579,1.653,5.261,7.520,3.010,4.887,3.325,2.061,1.814
PEJEGALLO,1.125,312,815,1.297,672,386,650,966,1.023,561,581
PEJEPERRO,33,-,-,23,30,9,2,2,2,7,6
PEJERRAtA,1,14,-,11,2,33,62,63,65,156,134
