ESPECIE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TOTAL GENERAL,135.277,127.952,163.846,163.847,199.000,243.537,211.143,251.975,119.706,152.273,340.255
TOTAL PECES,131.968,124.295,160.853,158.064,195.960,239.869,206.050,246.293,115.825,147.380,327.822
ALBACORA,1.254,1.299,1.567,1.405,1.281,1.218,1.103,689,1198,1.409,1.300
ALFONSINO,30,139,3,-,-,-,44,139,26,-,-
ANCHOVEtA,-,3,87,129,5,32,-,-,-,34,-
ANGuILA,-,-,-,-,-,-,-,-,-,-,-
AtuN ALEtA AMARILLA,-,-,-,1,10,-,1,-,-,-,-
AtuN OJOS GRANDES,3,2,9,3,9,5,3,3,-,-,-
BACALAO DE PROFuNDIDAD,1.486,893,996,789,361,514,313,215,181,142,126
BESuGO,-,19,-,-,-,6,-,-,-,-,-
BLANQuILLO,-,-,1,7,6,-,1,2,5,9,2
CABALLA,28,44,15,-,-,4,7,-,-,11,-
CABRILLA,-,-,-,-,-,-,-,-,-,-,-
CHANCHARRO,9,-,-,-,-,-,-,-,-,-,-
COJINOBA,11,-,-,-,3,7,13,1,2,-,74
CONGRIO COLORADO,3,-,1,10,1,-,-,13,15,8,8
CONGRIO DORADO,244,242,208,246,141,201,184,139,60,90,189
CONGRIO NEGRO,39,29,45,9,8,9,-,24,9,4,8
CORVINA,3,5,-,3,-,4,1,16,15,20,22
DORADO DE ALtuRA,-,1,-,-,-,-,-,1,-,-,-
JuREL,11.281,3.301,757,321,256,469,261,842,176,633,3.078
LENGuADO,-,-,-,-,-,-,-,-,-,-,-
LISA,-,-,-,-,-,-,-,-,2,1,2
MARRAJO O tIBuRON,33,55,23,11,5,1,5,-,-,-,11
MERLuZA COMuN,2.847,2.454,2.121,2.382,1.307,4.580,3.323,1.924,314,2.395,2.393
MERLuZA DE COLA,3,369,77,30,232,182,16,-,-,3,306
MERLuZA DE tRES ALEtAS,-,-,-,-,-,-,-,-,-,-,-
MERLuZA DEL SuR,11.519,11.181,10.245,10.006,9.215,9.447,10.165,9.633,9623,8.393,8.110
PAMPANItO,-,-,-,-,-,9,-,-,-,-,-
PEJEGALLO,168,5,79,201,59,27,31,23,20,20,40
PEJERRAtA,-,-,-,-,-,-,-,-,-,-,-
PEJERREY DE MAR,246,306,180,54,12,2,1,4,12,-,2
RAYA,98,3,1,-,-,-,2,2,-,-,4
REINEtA,4.036,1.493,771,1.398,852,304,316,272,205,483,1.524
ROBALO,19,93,47,37,3,-,-,2,1,3,8
SALMON ARtICO,-,-,-,-,-,17,7,-,-,-,-
SALMON DEL AtLANtICO,92.770,93.230,117.100,116.179,149.009,185.025,163.831,188.525,75686,64.980,155.832
SALMON PLAtEADO,1.592,341,11.992,5.398,16.881,23.131,9.779,15.765,6507,15.445,62.615
SALMON  REY,164,103,5,245,349,280,4,10,1,11,241
SARDINA,33,138,10,-,-,-,-,-,-,-,-
SARDINA COMuN,-,-,84,-,-,-,-,23,-,-,-
SIERRA,6,-,-,14,4,-,-,1,-,3,4
tOLLO,-,1,7,-,1,3,5,-,-,-,-
tRuCHA ARCOIRIS,3.773,4.819,12.903,18.650,15.572,14.187,16.401,27.788,21525,53.047,91.586
tuRBOt,269,264,367,214,177,201,222,226,242,236,224
OtROS PESCADOS,1,4,8,22,4,4,11,11,-,-,113
DESECHO DE PESCADO,-,3.459,1.144,300,197,-,-,-,-,-,-
TOTAL MOLUSCOS,1.406,1.678,1.645,4.163,1.669,2.384,3.655,4.346,2393,3.895,11.163
ABALON ROJO,11,44,89,61,20,4,19,9,4,6,4
ALMEJA,1,-,-,-,5,44,14,43,11,23,4
CALAMAR,-,-,-,-,-,-,-,-,-,-,-
CARACOL LOCAtE,8,56,65,-,2,2,23,2,-,-,19
CARACOL PALO PALO,1,-,-,-,-,-,-,1,-,-,7
CARACOL PIQuILHuE,-,-,2,-,12,-,-,3,-,2,9
CARACOL REAL,15,-,-,-,-,-,-,-,-,-,-
CARACOL tROPHON,15,20,3,4,29,36,10,13,-,7,2
CARACOL tRuMuLCO,-,-,4,-,-,-,-,-,-,-,11
CuLENGuE,10,12,19,23,43,33,153,94,-,76,85
