ESPECIE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
TOTAL GENERAL,390.027,379.751,377.580,447.337,479.829,476.020,513.158,455.304,428.273,392.943,533.736
TOTAL PECES,369.330,360.841,347.191,403.133,431.858,420.633,454.165,369.883,366.033,290.669,363.789
ALBACORA,607,491,606,296,1.058,881,870,311,241,557,875
ALFONSINO,1.843,2.189,3.483,1.057,1.279,1.170,1.235,1.278,613,459,176
ANCHOVEtA,90,70,166,85,191,541,73,215,53,15,6
ANGuILA,82,9,35,148,160,22,5,-,5,-,-
AtuN ALEtA AMARILLA,2,4,9,6,14,16,2,1,-,-,-
AtuN ALEtA LARGA,5,-,-,4,3,-,-,-,-,-,-
AtuN OJOS GRANDES,1,2,5,5,7,25,32,13,6,1,-
AYANQuE,-,-,-,-,-,-,-,-,-,-,-
AZuLEJO,146,165,128,101,83,165,184,-,11,-,-
BACALAO DE J. FERNANDEZ,6,-,-,1,-,-,-,-,-,13,-
BACALAO DE PROFuNDIDAD,3.601,4.253,3.821,3.665,3.923,4.241,4.540,4.092,2273,4.483,3.900
BESuGO,1.312,286,877,561,639,421,188,101,41,21,27
BLANQuILLO,1,16,8,6,3,-,-,3,-,-,-
BONItO,-,-,-,-,-,-,-,-,3,-,-
BRECA O BILAGAY,3,-,-,-,-,1,-,-,-,-,-
BROtuLA,334,183,591,1.476,1.612,906,356,369,46,893,664
CABALLA,3.055,3.249,3.738,8.259,7.599,6.358,7.475,903,1336,697,146
CABINZA,-,1,-,2,1,-,6,-,-,-,-
CABRILLA,24,12,9,10,12,12,2,2,-,43,13
CHANCHARRO,17,6,7,40,33,38,42,19,5,47,89
COJINOBA,1.450,1.686,1.242,1.692,1.367,1.486,1.413,1.517,491,2.107,2.127
CONGRIO COLORADO,147,87,43,84,39,22,4,30,18,7,21
CONGRIO DORADO,3.969,2.723,2.618,2.972,2.149,2.723,2.097,1.602,385,1.354,1.261
CONGRIO NEGRO,1.092,531,427,425,130,35,7,19,7,10,40
CORVINA,90,63,43,58,47,11,21,40,29,16,34
DORADO DE ALtuRA,42,306,95,102,42,169,8,16,-,7,13
DRACO RAYADO,812,192,841,1.047,1,1.191,1.518,508,-,1,-
JuREL,48.413,67.416,69.427,94.656,116.092,70.921,126.232,54.992,113.339,37.343,57.807
LENGuADO,3,1,1,4,10,5,-,-,-,-,6
LISA,-,-,-,-,6,-,1,2,1,-,-
MACHuELO tRItRE,1,5,-,-,-,-,-,-,-,-,-
MARLIN,1,-,-,8,5,6,15,-,-,-,-
MARRAJO O tIBuRON,461,122,67,72,82,60,104,7,25,16,2
MERLuZA COMuN,41.506,36.883,38.187,20.913,12.917,19.732,11.955,12.138,11.484,9.041,9.845
MERLuZA DEL AtLANtICO,-,-,-,-,208,-,-,-,-,-,-
MERLuZA DE tRES ALEtAS,818,809,1.654,1.736,2.090,3.069,3.899,34,353,2.617,1.171
MERLuZA DE COLA,9.956,16.582,22.681,21.335,23.056,23.614,19.537,9.936,11.139,20.747,17.311
MERLuZA DEL SuR,9.374,9.401,10.158,10.605,10.048,10.263,10.633,10.236,2.298,8.359,8.043
ORANGE ROuGHY,656,475,371,615,412,53,2,-,-,-,-
PEJEGALLO,40,57,105,138,53,4,3,5,21,1,5
PEJERRAtA,-,-,-,-,-,772,31,895,6,73,64
PEJERREY DE MAR,118,109,248,136,189,95,518,557,331,72,320
RAYA,2.603,2.724,4.523,2.581,2.592,2.417,2.425,1.586,1.628,1.538,1.562
REINEtA,1.830,98,216,965,1.419,597,806,944,1.544,1.543,3.230
ROBALO,-,15,24,67,45,18,5,27,1,-,8
SALMON ARtICO,-,-,-,-,-,5,10,-,-,-,-
SALMON DEL AtLANtICO,65.647,63.682,54.857,93.388,110.434,106.865,82.915,119.853,64.364,24.356,68.197
SALMON PLAtEADO,94.790,75.457,55.806,63.166,58.700,69.487,70.561,61.674,79.997,77.196,85.378
SALMON ROSADO,-,-,-,-,3.022,-,-,-,-,-,-
SALMON  REY,2.667,1.632,1.154,1.981,1.820,1.131,1.564,44,467,480,871
SARDINA,3.734,3.390,5.403,1.728,770,319,148,62,63,25,29
SARDINA AuStRAL,-,-,-,-,-,1,-,-,-,-,-
SARDINA COMuN,8,11,67,24,13,653,88,1.163,62,39,9
SIERRA,2,125,150,101,61,6,7,5,3,103,41
tOLLO,40,16,31,91,111,75,58,6,-,-,-
tRuCHA ARCOIRIS,67.606,63.290,62.860,66.047,66.661,89.437,102.247,84.326,73.305,96.115,100.375
tuRBOt,-,3,-,4,75,3,9,2,-,5,3
"VIDRIOLA, PALOMEtA, DORADO O tOREMO",46,17,13,12,4,8,42,40,1,-,8
OtROS PESCADOS,19,18,25,28,118,43,159,128,38,107,112
DESECHO DE PESCADO,262,1.974,371,630,453,540,113,182,-,162,-
